"keys","en","cn"
"2CXG","Inflicts hit creeps with [color=GOLD]Lingering Flame[/color], dealing spell damage over time.
","使被击中的敌方单位感染[color=GOLD]余烬灼烧[/color]，持续造成法术伤害。"
"AWAU","Inflicts hit creeps with [color=GOLD]Lingering Flame[/color], dealing 100 spell damage per second for 10 seconds. This effect stacks.
 
[color=ORANGE]Level Bonus:[/color]
+2 spell damage
","使被击中的敌方单位感染[color=GOLD]余烬灼烧[/color]，每秒造成100点法术伤害，持续10秒。该效果可叠加。

[color=ORANGE]等级加成：[/color]
+2 法术伤害"
"USD8","Feed the Flames","焰能补给"
"HP6Q","This tower fuels itself in various ways, restoring mana and raising maximum mana.
","该防御塔通过多种方式自我充能，恢复法力值并提升最大法力值。"
"NFHG","This tower fuels itself in various ways. Gains 1% of maximum mana on attack. Whenever [color=GOLD]Lingering Flame[/color] deals damage, there is a 20% chance to gain 0.5% of maximum mana per stack. On kill, gains 4% of total mana and maximum mana is increased by 10.
 
[color=ORANGE]Level Bonus:[/color]
+0.4% chance
","该防御塔通过多种方式自我充能。攻击时恢复1% 最大法力值；当[color=GOLD]余烬灼烧[/color]造成伤害时，每层效果有20% 几率额外恢复0.5% 最大法力值。击杀时，恢复4% 总法力值，并永久增加10点最大法力值。

[color=ORANGE]等级加成：[/color]
+0.4% 触发几率"
"R92O","Lacerate","撕裂"
"F6JS","This tower's attacks and abilities deal [color=GOLD]Lacerate[/color] damage. [color=GOLD]Lacerate[/color] splits normal damage into [color=d2b48cff]Physical[/color] and [color=9370dbff]Decay[/color] damage over time.
","该防御塔的攻击与技能造成[color=GOLD]撕裂[/color]伤害，将常规伤害分割为[color=d2b48c]物理[/color]与[color=9370db]腐化[/color]持续伤害。"
"9T0D","This tower's attacks and abilities deal [color=GOLD]Lacerate[/color] damage. 50% of [color=GOLD]Lacerate[/color] damage is dealt immediately as [color=d2b48cff]Physical[/color] damage. 100% of the remaining damage is dealt as [color=9370dbff]Decay[/color] damage over 5 seconds. If this effect is reapplied, any remaining damage will be added to the new duration. Damage over time is based on the target's movement speed, with faster movement increasing the damage dealt.
 
[color=ORANGE]Level Bonus:[/color]
+1% damage over time
","该防御塔的攻击与技能造成[color=GOLD]撕裂[/color]伤害，其中50%立即转化为[color=d2b48c]物理[/color]伤害，剩余伤害的100%在5秒内持续转化为[color=9370db]腐化[/color]伤害。重复施加时将剩余伤害在新的持续时间内继续叠加。持续伤害将基于目标单位的移动速度加权计算，速度越快伤害越高。

[color=ORANGE]等级加成：[/color]
+1% 持续伤害"
"Q124","Glaive Storm","刃轮风暴"
"I1IH","Whenever this tower hits a creep, it has a chance to throw an additional bouncing glaive at the target.
","攻击时有几率向目标投掷额外弹射刃轮。"
"9ZKJ","Whenever this tower hits a creep, it has a 5% chance to throw an additional bouncing glaive at the target, dealing 50% of attack damage as [color=GOLD]Lacerate[/color] damage before returning to the tower. When the glaive returns, it bounces to a new random target within attack range. Maximum of 20 hits.
 
[color=ORANGE]Level Bonus:[/color]
+0.2% chance
+2% damage
","攻击命中敌方单位时5%几率投掷额外刃轮，造成攻击力50%的[color=GOLD]撕裂[/color]伤害后返回。返回时将弹射至攻击范围内新目标，最多弹射20次。

[color=ORANGE]等级加成：[/color]
+0.2% 触发几率
+2% 伤害"
"WEJI","Bounder","刃轮共振"
"M2UW","Whenever this tower attacks, it has a chance to throw a glaive at one of the [color=GOLD]Glaivesaws[/color].
","攻击时有几率向[color=GOLD]回旋刃轮[/color]发射共振刃轮。"
"C4NT","Whenever this tower attacks, it has a 15% chance to throw a glaive towards one of the [color=GOLD]Glaivesaws[/color]. The glaive will bounce to another [color=GOLD]Glaivesaw[/color], dealing 250% of attack damage as [color=GOLD]Lacerate[/color] damage to enemies it passes through.
 
[color=ORANGE]Level Bonus:[/color]
+0.6% chance
+6% damage
","攻击时15%几率向[color=GOLD]回旋刃轮[/color]发射刃轮，弹射期间对路径敌人造成攻击力250%的[color=GOLD]撕裂[/color]伤害。

[color=ORANGE]等级加成：[/color]
+0.6% 触发几率
+6% 伤害"
"GQML","Arcane Attraction","奥术牵引"
"K89G","Applies [color=GOLD]Attraction[/color] to hit creeps. After applying [color=GOLD]Attraction[/color], the tower also and regenerates mana.
","对命中的敌方单位施加[color=GOLD]牵引[/color]并回复法力值。"
"3ZU5","Applies [color=GOLD]Attraction[/color] to hit creeps. After applying [color=GOLD]Attraction[/color], the tower also generates 1 mana for each stack of [color=GOLD]Attraction[/color] on all creeps. When a creep dies, all stacks of [color=GOLD]Attraction[/color] on it will distribute evenly to nearby targets within 500 range and deal 20% attack damage per stack transferred. [color=GOLD]Attraction[/color] lasts indefinitely.
 
[color=ORANGE]Level Bonus:[/color]
+10 range
+0.4% attack damage per stack
","攻击命中时施加[color=GOLD]牵引[/color]。每层[color=GOLD]牵引[/color]使防御塔每秒回复1点法力值。敌方单位死亡时，其[color=GOLD]牵引[/color]层数将平均分配给500范围内目标，每转移1层数造成20%攻击力伤害。[color=GOLD]牵引[/color]永久持续。

[color=ORANGE]等级加成：[/color]
+10 作用范围
每层+0.4% 攻击力伤害"
"MWMT","Surge","能量涌动"
"KFKG","Whenever this tower hits a creep, it has a chance to send a surge of energy, dealing attack damage and jumping to nearby creeps.
","攻击时有几率释放能量涌动，造成攻击伤害并弹射。"
"JYZZ","Whenever this tower hits a creep, it has a chance to send a surge of energy, which deals 200% of this tower's attack damage. The chance of the surge is equal to 1% per [color=GOLD]Attraction[/color] stack on the hit creep. The surge also attempts to jump to another creep within 750 range. At each jump, the chance to jump is calculated based on the next target's [color=GOLD]Attraction[/color] stacks. Can only hit each target once and benefits from [color=GOLD]Mana Storm's[/color] damage bonus.
 
[color=ORANGE]Level Bonus:[/color]
+0.02% chance per stack
+4% attack damage
","攻击命中时，根据目标[color=GOLD]牵引[/color]层数获得等同层数百分比的触发几率（每层+1%）。能量涌动造成200%攻击力伤害，并可在750范围内弹射，每次弹射基于新目标的[color=GOLD]牵引[/color]层数计算触发几率。单个目标仅受1次伤害，且受[color=GOLD]法力风暴[/color]加成。

[color=ORANGE]等级加成：[/color]
每层+0.02% 触发几率
+4% 攻击伤害"
"QELP","Mana Storm","法力风暴"
"4BIL","Attacks hit up to 2 additional enemies within attack range.
","攻击额外命中范围内2个目标并消耗法力强化伤害。"
"CDJ8","Attacks hit up to 2 additional enemies within attack range and consume all mana to deal [color=GOLD][mana consumed]%[/color] increased attack damage. [color=GOLD]Mana Storm[/color] gains an additional attack for every 75 mana consumed. If at least 100 mana is consumed, the tower's multicrit is increased by 3 for 2 seconds. If there are less creeps than attacks, the remaining attacks will hit the main target.
 
Note that extra hits from [color=GOLD]Mana Storm[/color] do not trigger [color=GOLD]Attraction[/color] or [color=GOLD]Surge[/color].
 
[color=ORANGE]Level Bonus:[/color]
-1 mana per extra attack
","攻击额外命中2个目标，消耗全部法力值提升[color=GOLD][消耗法力值]%[/color]攻击伤害。每消耗75法力获得1次额外攻击。消耗超过100法力时，2秒内多重暴击+3。目标不足时将剩余攻击作用于主目标。

注：额外攻击不触发[color=GOLD]牵引[/color]与[color=GOLD]能量涌动[/color]。

[color=ORANGE]等级加成：[/color]
每次额外攻击-1 法力消耗"
"WEB6","Icicles","冰锥"
"X9L3","Chance to create [color=GOLD]Icicles[/color] when hitting creeps. [color=GOLD]Icicles[/color] increase tower's attack damage and mana regen. When [color=GOLD]Icicles[/color] are fired they deal [color=GOLD]Frostburn[/color] damage.
","攻击敌方单位时有几率生成[color=GOLD]冰锥[/color]。[color=GOLD]冰锥[/color]可提升防御塔的攻击力与法力回复。发射[color=GOLD]冰锥[/color]时会造成[color=GOLD]霜燃[/color]伤害。"
"DYAP","15% chance to create an [color=GOLD]Icicle[/color] when hitting a creep. [color=GOLD]Icy Bombardments[/color] also has a 5% chance to create an [color=GOLD]Icicle[/color]. [color=GOLD]Icicles[/color] are stored and passively increase attack damage by 5% and mana regen by 0.5 mana per second each. Maximum of 5 [color=GOLD]Icicles[/color]. At maximum [color=GOLD]Icicles[/color], any extra [color=GOLD]Icicles[/color] created are instantly fired at the target. Each [color=GOLD]Icicle[/color] deals 3000 [color=GOLD]Frostburn[/color] damage and permanently increases the damage dealt by future [color=GOLD]Icicles[/color] from this tower by 2%.
 
[color=ORANGE]Level Bonus:[/color]
+0.4% chance on attack
+0.1% chance on Icy Bombardment
+80 damage
+1 max icicle every 5 levels
","攻击敌方单位时有15%几率生成一枚[color=GOLD]冰锥[/color]。[color=GOLD]寒冰轰击[/color]有5%额外几率生成[color=GOLD]冰锥[/color]。每枚[color=GOLD]冰锥[/color]可被动提升5%攻击力与0.5点/秒法力回复，最多储存5枚。当[color=GOLD]冰锥[/color]达到上限时，新生成的[color=GOLD]冰锥[/color]将立即射向目标，每枚造成3000点[color=GOLD]霜燃[/color]伤害，并永久提升该防御塔后续生成的[color=GOLD]冰锥[/color]2%伤害。

[color=ORANGE]等级加成：[/color]
+0.4% 攻击触发几率
+0.1% 寒冰轰击触发几率
+80 伤害
每5级 +1 最大冰锥数"
"FQWZ","Icy Bombardment","寒冰轰击"
"VXB9","Whenever this tower attacks, it has a chance to fire a projectile at a random point which deals AoE [color=GOLD]Frostburn[/color] damage.
","攻击时有几率向随机位置发射轰击，造成范围[color=GOLD]霜燃[/color]伤害。"
"ZHEB","Whenever this tower attacks, it has a 15% chance to fire a projectile at a random point within 150 range of the attacked creep that deals 25% of current attack damage as [color=GOLD]Frostburn[/color] damage in 200 AoE splash. Each additional projectile has a 30% chance to fire another, up to a maximum of 4 per attack.
 
[color=ORANGE]Level Bonus:[/color]
+0.4% initial chance
+0.4% additional chance
+0.6% damage
","攻击时有15%几率向被攻击敌方单位周围150范围内随机位置发射轰击，对200范围的敌人造成当前防御塔25%攻击力的[color=GOLD]霜燃[/color]伤害。每发轰击有30%几率触发新的轰击，单次攻击最多触发4次。

[color=ORANGE]等级加成：[/color]
+0.4% 基础触发几率
+0.4% 连击触发几率
+0.6% 伤害"
"FUE1","Frostburn","霜燃"
"7GP7","This tower's attacks and abilities deal [color=GOLD]Frostburn[/color] damage. The damage is split into attack damage and spell damage over time.
","该防御塔的攻击与技能会造成[color=GOLD]霜燃[/color]伤害，该伤害由瞬时攻击伤害与持续法术伤害组成。"
"T53K","This tower's attacks and abilities deal [color=GOLD]Frostburn[/color] damage. 50% of the damage is dealt immediately as attack damage. 100% of the remaining damage is dealt as spell damage over 5 seconds. If this effect is reapplied, any remaining damage will be added to the new duration.
 
[color=ORANGE]Level Bonus:[/color]
+1% damage over time
","该防御塔的攻击与技能会造成[color=GOLD]霜燃[/color]伤害。50%伤害作为瞬时攻击伤害生效，剩余伤害的100%转化为持续5秒的法术伤害。若效果重复施加，剩余伤害将累加至新的持续时间。

[color=ORANGE]等级加成：[/color]
+1% 持续伤害"
"W968","Eat the Dead","吞噬亡者"
"2ME6","Kraken gains a permanent increase in base attack damage on kill.
","克拉肯消灭敌人时永久提升基础攻击力。"
"35EV","Kraken gains a permanent increase in base attack damage on kill:
+0.5% for mass creeps
+1% for normal creeps
+2% for champions
+2% for air creeps
+10% for bosses
","克拉肯消灭敌方单位后永久提升基础攻击力：
杂兵 +0.5%
小兵 +1%
精英 +2%
空中单位 +2%
首领 +10%"
"G2K8","Acid Goo","酸液粘浆"
"SM4C","Chance to decrease armor of hit creeps.
","击中时有几率降低被击中敌方单位的护甲。"
"VRPH","30% chance to decrease armor of hit creeps by 15 for 5 seconds.
 
[color=ORANGE]Level Bonus:[/color]
+0.2 seconds
+0.6 armor decrease
+1% chance
","30%几率使被击中敌方单位护甲降低15点，持续5秒。

[color=ORANGE]等级加成：[/color]
+0.2秒 持续时间
+0.6点 护甲削减
+1% 触发几率"
"7NNS","Tentacle Attack","触须攻击"
"LN17","Periodically stuns and deals a percentage of current attack damage to nearby non-flying creeps.
","周期性攻击附近地面单位并造成眩晕。"
"CDWQ","Every 4 seconds, the Kraken attacks random ground creeps with 6 tentacles. Each tentacle deals 15% of Kraken's current attack damage as [color=d2b48cff]Physical[/color] damage and stuns for 0.4 seconds.
 
[color=ORANGE]Level Bonus:[/color]
-0.04 seconds cooldown
+1 tentacle on levels 15 and 25
","每4秒用6条触须攻击随机地面单位，每条触须造成15%当前攻击力的[color=d2b48cff]物理[/color]类型伤害并造成0.4秒眩晕。

[color=ORANGE]等级加成：[/color]
-0.04秒 冷却时间
15级和25级时各+1条触须"
"OAVP","Icy Touch","寒霜之触"
